# projections: https://proj.org/operations/projections/,
,
    Adams Hemisphere in a Square,
    Adams World in a Square I,
    Adams World in a Square II,
    Albers Equal Area,
    Azimuthal Equidistant,
    Airy,
    Aitoff,
    Modified Stereographic of Alaska,
    Apian Globular I,
    August Epicycloidal,
    Bacon Globular,
    Bertin 1953,
    Bipolar conic of western hemisphere,
    Boggs Eumorphic,
    Bonne (Werner lat_1=90),
    Cal Coop Ocean Fish Invest Lines/Stations,
    Cassini (Cassini-Soldner),
    Central Cylindrical,
    Central Conic,
    Equal Area Cylindrical,
    Chamberlin Trimetric,
    Collignon,
    Colombia Urban,
    Compact Miller,
    Craster Parabolic (Putnins P4),
    Denoyer Semi-Elliptical,
    Eckert I,
    Eckert II,
    Eckert III,
    Eckert IV,
    Eckert V,
    Eckert VI,
    Equidistant Cylindrical (Plate Carrée),
    Equidistant Conic,
    Equal Earth,
    Euler,
    Fahey,
    Foucaut,
    Foucaut Sinusoidal,
    Gall (Gall Stereographic),
    Geostationary Satellite View,
    Ginsburg VIII (TsNIIGAiK),
    General Sinusoidal Series,
    Gnomonic,S
    Goode Homolosine,S
    Modified Stereographic of 48 U,
    Modified Stereographic of 50 U,
    Guyou,
    Hammer & Eckert-Greifendorff,
    Hatano Asymmetrical Equal Area,
    HEALPix,
    rHEALPix,
    Interrupted Goode Homolosine,
    Interrupted Goode Homolosine (Oceanic View),
    Interrupted Mollweide,
    Interrupted Mollweide (Oceanic View),
    International Map of the World Polyconic,
    Icosahedral Snyder Equal Area,
    Kavrayskiy V,
    Kavrayskiy VII,
    Krovak,
    Laborde,
    Lambert Azimuthal Equal Area,
    Lagrange,
    Larrivee,
    Laskowski,
    Lambert Conformal Conic,
    Lambert Conformal Conic Alternative,
    Lambert Equal Area Conic,
    Lee Oblated Stereographic,
    Loximuthal, 1)
    Space oblique for LANDSAT, 2)
    McBryde-Thomas Flat-Polar Sine (No,
    McBryde-Thomas Flat-Pole Sine (No,
    McBride-Thomas Flat-Polar Parabolic,
    McBryde-Thomas Flat-Polar Quartic,
    McBryde-Thomas Flat-Polar Sinusoidal,
    Mercator,
    Miller Oblated Stereographic,
    Miller Cylindrical,
    Space oblique for MISR,
    Mollweide,
    Murdoch I,
    Murdoch II,
    Murdoch III,
    Natural Earth,
    Natural Earth II,
    Nell,
    Nell-Hammer,
    Nicolosi Globular,
    Near-sided perspective,
    New Zealand Map Grid,
    General Oblique Transformation,
    Oblique Cylindrical Equal Area,
    Oblated Equal Area,
    Oblique Mercator,
    Ortelius Oval,
    Orthographic,
    Patterson,
    Perspective Conic,
    Peirce Quincuncial,
    Polyconic (American),
    Putnins P1,
    Putnins P2,
    Putnins P3,
    Putnins P3’,
    Putnins P4’,
    Putnins P5,
    Putnins P5’,
    Putnins P6,
    Putnins P6’,
    Quartic Authalic,
    Quadrilateralized Spherical Cube,
    Robinson,
    Roussilhe Stereographic,
    Rectangular Polyconic,
    S2,
    Spherical Cross-track Height,
    Sinusoidal (Sanson-Flamsteed),
    Swiss Oblique Mercator,
    Stereographic,
    Oblique Stereographic Alternative,
    Gauss-Schreiber Transverse Mercator (aka Gauss-Laborde Reunion),
    Transverse Central Cylindrical,
    Transverse Cylindrical Equal Area,
    Times,
    Tissot,
    Transverse Mercator,
    Tobler-Mercator,
    Two Point Equidistant,
    Tilted perspective,
    Universal Polar Stereographic,
    Urmaev V,
    Urmaev Flat-Polar Sinusoidal,
    Universal Transverse Mercator (UTM),
    van der Grinten (I),
    van der Grinten II,
    van der Grinten III,
    van der Grinten IV,
    Vitkovsky I,
    Wagner I (Kavrayskiy VI),
    Wagner II,
    Wagner III,
    Wagner IV,
    Wagner V,
    Wagner VI,
    Wagner VII,
    Web Mercator / Pseudo Mercator,
    Werenskiold I,
    Winkel I,
    Winkel II,
    Winkel Tripel,
